generation	population_size	num_mutations	nucleotide_diversity	theta_watterson	beneficial_freq
0	50	0	0.000000	0.000000	0.000000
1	50	0	0.000000	0.000000	0.000000
2	50	0	0.000000	0.000000	0.000000
3	50	0	0.000000	0.000000	0.000000
4	50	0	0.000000	0.000000	0.000000
5	50	0	0.000000	0.000000	0.000000
6	50	0	0.000000	0.000000	0.000000
7	50	0	0.000000	0.000000	0.000000
8	50	0	0.000000	0.000000	0.000000
9	50	0	0.000000	0.000000	0.000000
10	50	0	0.000000	0.000000	0.000000
11	50	0	0.000000	0.000000	0.000000
12	50	0	0.000000	0.000000	0.000000
13	50	0	0.000000	0.000000	0.000000
14	50	0	0.000000	0.000000	0.000000
15	50	0	0.000000	0.000000	0.000000
16	50	0	0.000000	0.000000	0.000000
17	50	1	0.000113	0.223254	0.000000
18	50	1	0.000113	0.223254	0.000000
19	50	1	0.000113	0.223254	0.000000
20	50	1	0.000039	0.223254	0.000000
21	50	0	0.000000	0.000000	0.000000
22	50	0	0.000000	0.000000	0.000000
23	50	0	0.000000	0.000000	0.000000
24	50	1	0.000077	0.223254	0.000000
25	50	1	0.000039	0.223254	0.000000
26	50	1	0.000039	0.223254	0.000000
27	50	1	0.000077	0.223254	0.000000
28	50	1	0.000113	0.223254	0.000000
29	50	1	0.000077	0.223254	0.000000
30	50	1	0.000077	0.223254	0.000000
31	50	1	0.000147	0.223254	0.000000
32	50	1	0.000113	0.223254	0.000000
33	50	1	0.000211	0.223254	0.000000
34	50	2	0.000250	0.446508	0.000000
35	50	1	0.000180	0.223254	0.000000
36	50	1	0.000295	0.223254	0.000000
37	50	1	0.000320	0.223254	0.000000
38	50	1	0.000295	0.223254	0.000000
39	50	1	0.000343	0.223254	0.000000
40	50	1	0.000320	0.223254	0.000000
41	50	1	0.000385	0.223254	0.000000
42	50	1	0.000343	0.223254	0.000000
43	50	1	0.000211	0.223254	0.000000
44	50	1	0.000211	0.223254	0.000000
45	50	1	0.000180	0.223254	0.000000
46	50	1	0.000113	0.223254	0.000000
47	50	1	0.000039	0.223254	0.000000
48	50	0	0.000000	0.000000	0.000000
49	50	0	0.000000	0.000000	0.000000
50	50	0	0.000000	0.000000	0.000000
